date,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31,node_32,node_33,node_34,node_35,node_36,node_37,node_38,node_39,node_40,node_41,node_42,node_43,node_44,node_45,node_46
2022-01-03,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-01-10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,5,0,3,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2022-01-17,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
2022-01-24,1,0,0,0,7,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2022-01-31,1,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2022-02-07,1,1,0,0,7,1,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,3,11,0,1,2,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
2022-02-14,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-21,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-28,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,5,0,0,4,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,0,0
2022-03-07,0,0,1,1,8,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,2,0,0,0,7,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
2022-03-14,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,2,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,1
2022-03-21,0,0,1,1,5,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,3,0,1,0,0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,1,4,0,0,0,2,0,0
2022-03-28,1,0,1,0,7,0,0,0,0,0,0,1,0,1,2,2,1,1,0,0,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
2022-04-04,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,4,0,0
2022-04-11,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,0
2022-04-18,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
2022-04-25,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0
2022-05-02,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,2,0,2
2022-05-09,0,2,0,1,7,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,2,1,0,1,3,1,1,0,0,4,0,1
2022-05-16,0,5,0,0,6,0,0,0,0,0,0,0,1,0,2,0,2,10,0,0,0,0,1,0,0,0,5,0,0,2,0,0,0,0,0,0,0,2,1,4,2,0,0,0,0,0,0
2022-05-23,0,1,0,2,3,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,1,0,0,0,0,0,10,0,0,0,0,1,0,1,0,0,1,1,0,6,0,0,0,0,0,0,1
2022-05-30,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,1,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1
2022-06-06,0,0,0,1,6,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,10,0,0,0,0,0,3,0,1,1,0,0,1,5,1,0,0,0,1,0,3
2022-06-13,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,4,4,11,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,0,0,0,0,0
2022-06-20,0,1,0,4,1,0,0,0,0,0,0,0,1,0,0,6,0,15,0,0,0,0,0,1,0,0,23,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-06-27,0,1,0,0,3,0,0,0,0,1,0,0,0,1,1,5,0,13,0,0,0,0,3,0,0,0,9,0,0,0,0,1,0,0,0,1,0,3,0,4,2,1,0,0,3,0,0
2022-07-04,3,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,2,8,0,1,1,0,0,0,0,1,12,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,1,3,0,4
2022-07-11,3,5,0,1,8,0,0,0,0,0,0,0,0,1,0,2,0,9,0,0,0,0,0,1,0,0,8,0,1,2,1,0,0,0,0,3,0,2,0,4,0,0,0,0,1,0,0
2022-07-18,3,1,0,0,8,1,0,0,0,0,0,0,0,0,1,3,2,10,0,0,1,0,1,0,0,0,7,0,0,2,0,0,1,0,0,0,1,3,0,3,5,1,0,0,1,1,0
2022-07-25,2,5,0,2,7,0,0,0,0,0,0,0,2,2,0,2,1,12,0,1,0,0,1,0,2,0,7,1,2,1,1,0,0,0,0,0,1,3,2,2,0,5,0,0,0,3,10
2022-08-01,0,11,1,0,4,0,0,0,2,0,0,0,1,0,0,1,1,15,0,0,2,0,0,0,1,2,9,0,0,1,1,0,0,0,0,1,5,5,0,4,2,2,0,0,2,0,13
2022-08-08,0,3,3,1,1,0,0,0,0,2,0,0,1,0,0,2,0,5,0,0,1,0,1,0,1,0,9,1,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,1,0,4
2022-08-15,0,2,0,1,7,0,0,0,1,0,0,0,1,0,1,1,0,9,0,5,0,0,0,0,0,0,6,0,0,0,1,1,1,0,0,0,0,2,4,1,0,3,0,0,3,0,10
2022-08-22,0,3,1,2,9,0,0,1,0,0,0,0,0,0,0,0,1,7,0,3,2,0,1,0,0,0,10,0,2,0,0,1,3,0,0,0,0,1,1,2,4,3,0,1,0,0,6
2022-08-29,1,5,1,3,5,0,0,0,0,0,0,0,0,1,0,3,0,11,0,1,2,0,0,0,0,1,11,1,2,0,1,0,1,0,3,1,0,0,0,1,0,0,0,0,1,0,2
2022-09-05,0,0,0,4,5,0,0,0,1,0,0,0,0,0,0,1,1,7,0,1,2,0,1,0,0,1,7,0,0,1,0,1,0,0,2,0,0,1,1,4,0,1,0,0,1,0,2
2022-09-12,0,0,0,1,4,0,0,0,0,0,0,0,0,1,2,0,4,7,0,0,1,0,0,0,1,1,10,0,0,1,0,1,0,0,1,0,0,0,0,6,3,1,0,0,2,0,0
2022-09-19,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,0,10,0,0,1,0,0,3,0,2,0,1,1,3,11,1,2,0,0,1,0,0
2022-09-26,0,2,2,1,4,1,0,0,0,0,0,0,0,1,1,4,1,16,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,1,0,0,1,8,6,0,0,0,2,0,1
2022-10-03,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,17,0,1,0,0,0,0,0,0,16,1,1,0,1,0,1,0,0,1,0,1,2,0,1,0,0,0,3,0,0
2022-10-10,0,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,2,6,0,0,1,0,0,0,0,0,23,0,1,1,0,1,0,0,0,1,0,0,3,0,4,0,0,0,2,0,0
2022-10-17,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,4,1,10,0,0,0,0,0,1,2,0,19,0,0,4,0,0,1,0,0,0,0,2,1,2,0,0,0,1,1,0,0
2022-10-24,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,5,0,0,0,0,0,0,0,0,30,0,0,0,0,1,1,0,0,0,0,0,3,0,3,0,0,0,1,0,0
2022-10-31,1,1,3,1,7,2,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,3,15,0,0,2,1,0,0,0,0,1,0,1,0,1,2,1,0,1,1,0,3
2022-11-07,2,3,0,0,2,0,0,0,0,0,0,0,0,0,1,6,3,9,0,1,0,0,2,0,1,0,15,2,1,1,0,1,1,0,0,0,0,1,1,0,3,0,0,2,2,0,1
2022-11-14,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,5,0,2,1,0,0,0,2,0,13,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
2022-11-21,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-28,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1,0,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
2022-12-05,1,0,1,1,3,0,0,0,0,0,0,0,0,0,1,3,2,5,0,0,0,0,0,0,1,1,4,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,3,0,3
2022-12-12,1,2,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,2
2022-12-19,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,0,4
2022-12-26,0,2,0,0,4,1,0,0,0,0,0,0,0,0,1,2,0,10,0,0,0,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,8,0,16
2023-01-02,1,2,0,4,0,3,0,5,0,1,0,0,0,0,0,4,1,9,0,1,0,0,1,0,1,0,12,1,2,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,7,0,14
